datetime,Open,High,Low,Last,Volume,NumberOfTrades,BidVolume,AskVolume,ticker_prefix,ticker_symbol
2008-12-17,44.66,45.06,43.79,44.37,2002,0,0,0,cl,cl_F
2008-12-18,44.31,45.64,41.55,42.44,144077,0,0,0,cl,cl_F
2008-12-19,42.45,43.25,40.9,42.91,130422,0,0,0,cl,cl_F
2008-12-22,43.1,43.24,39.05,39.69,99894,0,0,0,cl,cl_F
2008-12-23,39.69,40.65,37.79,38.95,103278,0,0,0,cl,cl_F
2008-12-24,38.95,39.18,35.13,35.58,55840,0,0,0,cl,cl_F
2008-12-25,35.7,36.46,35.64,36.19,1465,0,0,0,cl,cl_F
2008-12-26,36.19,38.03,35.35,37.9,41655,0,0,0,cl,cl_F
2008-12-29,38.64,42.2,37.53,39.41,106574,0,0,0,cl,cl_F
2008-12-30,39.43,39.97,37.93,38.36,86130,0,0,0,cl,cl_F
2008-12-31,38.36,45.54,36.94,42.66,125143,0,0,0,cl,cl_F
2009-01-01,43.72,43.72,42.28,42.67,3189,0,0,0,cl,cl_F
2009-01-02,42.63,46.74,41.05,46.52,135040,0,0,0,cl,cl_F
2009-01-05,47.57,49.28,45.56,48.23,178581,0,0,0,cl,cl_F
2009-01-06,48.24,50.47,47.6,48.58,169166,0,0,0,cl,cl_F
2009-01-07,48.56,49.09,42.24,42.72,205497,0,0,0,cl,cl_F
2009-01-08,42.75,43.63,40.54,42.26,180286,0,0,0,cl,cl_F
2009-01-09,42.27,42.7,39.38,40.36,155118,0,0,0,cl,cl_F
2009-01-12,40.22,40.3,36.6,36.64,138021,0,0,0,cl,cl_F
2009-01-13,36.64,39.5,36.1,38.84,175923,0,0,0,cl,cl_F
2009-01-14,38.9,39.45,35.52,36.37,156062,0,0,0,cl,cl_F
2009-01-15,36.36,43.82,33.2,43.35,108709,0,0,0,cl,cl_F
2009-01-16,43.39,44.48,42.03,42.27,152945,0,0,0,cl,cl_F
2009-01-19,42.29,42.63,40.11,40.36,27260,0,0,0,cl,cl_F
2009-01-20,40.35,43.79,39.11,41.21,186910,0,0,0,cl,cl_F
2009-01-21,41.2,44.43,40.24,43.75,180820,0,0,0,cl,cl_F
2009-01-22,43.77,45.1,40.41,43.0,212528,0,0,0,cl,cl_F
2009-01-23,42.99,47.0,41.4,45.98,200609,0,0,0,cl,cl_F
2009-01-26,45.61,48.59,45.25,46.28,192590,0,0,0,cl,cl_F
2009-01-27,46.28,47.49,41.41,42.06,212995,0,0,0,cl,cl_F
2009-01-28,42.07,43.6,40.6,41.5,200451,0,0,0,cl,cl_F
2009-01-29,41.47,42.32,40.18,41.57,156133,0,0,0,cl,cl_F
2009-01-30,41.56,43.44,41.02,41.75,149264,0,0,0,cl,cl_F
2009-02-02,41.64,42.0,39.83,40.44,150101,0,0,0,cl,cl_F
2009-02-03,40.46,41.17,39.65,41.03,133803,0,0,0,cl,cl_F
2009-02-04,41.03,41.92,39.74,40.48,149464,0,0,0,cl,cl_F
2009-02-05,40.49,41.25,39.46,40.84,141116,0,0,0,cl,cl_F
2009-02-06,40.81,42.68,38.6,40.04,222983,0,0,0,cl,cl_F
2009-02-09,40.22,42.43,39.42,39.96,167803,0,0,0,cl,cl_F
