date,prices_M0,prices_M1,prices_M2,prices_M3,prices_M4,prices_M5,prices_M6,prices_M7,prices_M8,prices_M9,prices_M10,spreads_M0,spreads_M1,spreads_M2,spreads_M3,spreads_M4,spreads_M5,spreads_M6,spreads_M7,spreads_M8,spreads_M9,spreads_M10,oi_M0,oi_M1,oi_M2,oi_M3,oi_M4,oi_M5,oi_M6,oi_M7,oi_M8,oi_M9,oi_M10,volume_M0,volume_M1,volume_M2,volume_M3,volume_M4,volume_M5,volume_M6,volume_M7,volume_M8,volume_M9,volume_M10,label_M0,label_M1,label_M2,label_M3,label_M4,label_M5,label_M6,label_M7,label_M8,label_M9,label_M10
2021-09-10,69.72,69.47,69.13,68.72,68.33,67.95,67.57,67.18,66.77,66.35,,0.0,-0.25,-0.5900000000000034,-1.0,-1.3900000000000006,-1.769999999999996,-2.1500000000000057,-2.539999999999992,-2.950000000000003,-3.3700000000000045,,241588.0,328204.0,309416.0,131197.0,68733.0,109603.0,46897.0,58376.0,146756.0,40729.0,,411079.0,199522.0,113915.0,35997.0,24108.0,24593.0,5954.0,5651.0,23973.0,2666.0,,V,X,Z,F,G,H,J,K,M,N,None
2021-09-13,70.45,70.19,69.81,69.37,68.94,68.53,68.13,67.73,67.3,66.87,,0.0,-0.2600000000000051,-0.6400000000000006,-1.0799999999999983,-1.5100000000000051,-1.9200000000000017,-2.3200000000000074,-2.719999999999999,-3.1500000000000057,-3.5799999999999983,,208490.0,350482.0,303573.0,131779.0,67024.0,107702.0,46593.0,55125.0,147026.0,40146.0,,390939.0,194027.0,127740.0,50851.0,25372.0,28182.0,8323.0,12237.0,29595.0,4871.0,,V,X,Z,F,G,H,J,K,M,N,None
2021-09-14,70.46,70.23,69.83,69.38,68.93,68.49,68.07,67.65,67.21,66.76,,0.0,-0.22999999999998977,-0.6299999999999955,-1.0799999999999983,-1.529999999999987,-1.9699999999999989,-2.3900000000000006,-2.809999999999988,-3.25,-3.6999999999999886,,171139.0,376080.0,307790.0,134650.0,68781.0,109967.0,46619.0,54106.0,146795.0,40169.0,,414231.0,242418.0,126178.0,45601.0,26429.0,27659.0,6135.0,9048.0,25636.0,5057.0,,V,X,Z,F,G,H,J,K,M,N,None
2021-09-15,72.61,72.33,71.84,71.26,70.69,70.14,69.6,69.07,68.55,68.0,,0.0,-0.28000000000000114,-0.769999999999996,-1.3499999999999943,-1.9200000000000017,-2.469999999999999,-3.010000000000005,-3.5400000000000063,-4.060000000000002,-4.609999999999999,,143700.0,398366.0,315903.0,134016.0,75605.0,113709.0,49538.0,51635.0,149841.0,39098.0,,418665.0,268425.0,177875.0,69285.0,44297.0,50768.0,13029.0,12583.0,68025.0,4953.0,,V,X,Z,F,G,H,J,K,M,N,None
2021-09-16,72.61,72.37,71.91,71.33,70.73,70.17,69.62,69.08,68.55,68.0,,0.0,-0.23999999999999488,-0.7000000000000028,-1.2800000000000011,-1.8799999999999955,-2.4399999999999977,-2.989999999999995,-3.530000000000001,-4.060000000000002,-4.609999999999999,,94289.0,420489.0,311585.0,136518.0,79974.0,113101.0,49417.0,50358.0,149092.0,38971.0,,298412.0,232723.0,119383.0,40394.0,27832.0,34845.0,6615.0,6026.0,30486.0,3588.0,,V,X,Z,F,G,H,J,K,M,N,None
2021-09-17,71.82,71.38,70.81,70.22,69.65,69.09,68.54,68.01,67.46,65.93,,0.0,-0.4399999999999977,-1.009999999999991,-1.5999999999999943,-2.1699999999999875,-2.7299999999999898,-3.279999999999987,-3.809999999999988,-4.359999999999999,-5.889999999999986,,436205.0,310701.0,138902.0,80078.0,114307.0,49693.0,50060.0,149237.0,38723.0,28768.0,,288461.0,107631.0,39716.0,28227.0,30979.0,7496.0,7018.0,27297.0,4365.0,1991.0,,X,Z,F,G,H,J,K,M,N,V,None
2021-09-20,70.14,69.73,69.21,68.65,68.08,67.55,67.03,66.5,65.99,64.52,,0.0,-0.4099999999999966,-0.9300000000000068,-1.4899999999999949,-2.0600000000000023,-2.5900000000000034,-3.1099999999999994,-3.6400000000000006,-4.150000000000006,-5.6200000000000045,,450195.0,310578.0,138204.0,81191.0,114838.0,49651.0,49235.0,149462.0,40033.0,28710.0,,377947.0,121075.0,39160.0,18859.0,27013.0,4823.0,4968.0,23268.0,4554.0,1646.0,,X,Z,F,G,H,J,K,M,N,V,None
2021-09-21,70.49,70.14,69.67,69.14,68.6,68.06,67.53,67.0,66.47,65.0,,0.0,-0.3499999999999943,-0.8199999999999932,-1.3499999999999943,-1.8900000000000006,-2.4299999999999926,-2.9599999999999937,-3.489999999999995,-4.019999999999996,-5.489999999999995,,457547.0,314898.0,139069.0,82545.0,116929.0,49875.0,49042.0,151540.0,39856.0,28829.0,,393403.0,134274.0,42573.0,17078.0,21696.0,5572.0,3994.0,27017.0,5460.0,811.0,,X,Z,F,G,H,J,K,M,N,V,None
2021-09-22,72.23,71.89,71.4,70.83,70.24,69.66,69.1,68.52,67.95,66.33,,0.0,-0.3400000000000034,-0.8299999999999983,-1.4000000000000057,-1.990000000000009,-2.5700000000000074,-3.1300000000000097,-3.710000000000008,-4.280000000000001,-5.900000000000006,,457949.0,321237.0,140037.0,81225.0,112647.0,50949.0,48471.0,155594.0,39745.0,28975.0,,381061.0,146899.0,50992.0,20129.0,30268.0,7058.0,4723.0,31667.0,3190.0,1045.0,,X,Z,F,G,H,J,K,M,N,V,None
2021-09-23,73.3,72.95,72.42,71.83,71.23,70.63,70.05,69.46,68.87,,,0.0,-0.3499999999999943,-0.8799999999999955,-1.4699999999999989,-2.069999999999993,-2.6700000000000017,-3.25,-3.8400000000000034,-4.429999999999993,,,465669.0,330475.0,138638.0,84924.0,115826.0,53841.0,48403.0,161122.0,40271.0,,,403405.0,185625.0,78545.0,27262.0,43467.0,13049.0,10588.0,38336.0,4475.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-24,73.98,73.61,73.07,72.47,71.85,71.24,70.64,70.02,69.4,,,0.0,-0.37000000000000455,-0.9100000000000108,-1.5100000000000051,-2.1300000000000097,-2.740000000000009,-3.3400000000000034,-3.960000000000008,-4.579999999999998,,,461566.0,338272.0,138771.0,85769.0,115451.0,54735.0,47716.0,163422.0,39554.0,,,350382.0,152837.0,50842.0,18894.0,24256.0,8846.0,6782.0,30888.0,4878.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-27,75.45,75.08,74.53,73.92,73.32,72.71,72.1,71.49,70.86,,,0.0,-0.37000000000000455,-0.9200000000000017,-1.5300000000000011,-2.1300000000000097,-2.740000000000009,-3.3500000000000085,-3.960000000000008,-4.590000000000003,,,463469.0,341738.0,140061.0,85422.0,118087.0,54238.0,47227.0,164050.0,39665.0,,,417829.0,207113.0,71925.0,33040.0,44192.0,16215.0,9803.0,40359.0,5668.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-28,75.29,74.9,74.33,73.7,73.09,72.48,71.87,71.27,70.64,,,0.0,-0.39000000000000057,-0.960000000000008,-1.5900000000000034,-2.200000000000003,-2.8100000000000023,-3.4200000000000017,-4.02000000000001,-4.650000000000006,,,455434.0,345370.0,142849.0,86590.0,118907.0,54296.0,47223.0,162856.0,39376.0,,,476143.0,177681.0,64958.0,29658.0,27348.0,11075.0,6922.0,30472.0,3964.0,,,X,Z,F,G,H,J,K,M,N,None,None
2021-09-29,74.83,74.5,73.99,73.41,72.84,72.27,71.7,71.11,70.5,,,0.0,-0.3299999999999983,-0.8400000000000034,-1.4200000000000017,-1.9899999999999949,-2.5600000000000023,-3.1299999999999955,-3.719999999999999,-4.329999999999998,,,445136.0,348862.0,149096.0,87262.0,120098.0,54375.0,46874.0,164006.0,39058.0,,,424193.0,169908.0,59398.0,20484.0,27233.0,8061.0,3672.0,24364.0,2387.0,,,X,Z,F,G,H,J,K,M,N,None,None
