date,prices_M0,prices_M1,prices_M2,prices_M3,prices_M4,prices_M5,prices_M6,prices_M7,prices_M8,prices_M9,prices_M10,spreads_M0,spreads_M1,spreads_M2,spreads_M3,spreads_M4,spreads_M5,spreads_M6,spreads_M7,spreads_M8,spreads_M9,spreads_M10,oi_M0,oi_M1,oi_M2,oi_M3,oi_M4,oi_M5,oi_M6,oi_M7,oi_M8,oi_M9,oi_M10,volume_M0,volume_M1,volume_M2,volume_M3,volume_M4,volume_M5,volume_M6,volume_M7,volume_M8,volume_M9,volume_M10,label_M0,label_M1,label_M2,label_M3,label_M4,label_M5,label_M6,label_M7,label_M8,label_M9,label_M10
2021-09-09,5.031,5.072,5.158,5.216,5.102,4.724,3.836,3.717,3.744,3.775,3.783,0.0,0.04100000000000037,0.12700000000000067,0.1850000000000005,0.07100000000000062,-0.3069999999999995,-1.1949999999999998,-1.3139999999999996,-1.2869999999999995,-1.2559999999999998,-1.2479999999999998,196841.0,224223.0,91390.0,154346.0,58640.0,117776.0,117166.0,114070.0,38876.0,,32309.0,234848.0,111773.0,41781.0,50913.0,26713.0,30626.0,26454.0,16340.0,5316.0,3608.0,2491.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-10,4.938,4.973,5.067,5.129,5.028,4.68,3.854,3.742,3.77,3.802,3.809,0.0,0.03500000000000014,0.12900000000000045,0.19099999999999984,0.08999999999999986,-0.258,-1.0839999999999996,-1.1959999999999997,-1.1679999999999997,-1.1359999999999997,-1.1289999999999996,177778.0,223531.0,88524.0,155850.0,60043.0,117008.0,117668.0,115663.0,40490.0,,32759.0,151036.0,78987.0,32295.0,43562.0,21378.0,33561.0,19726.0,14696.0,8983.0,5614.0,2817.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-13,5.231,5.273,5.366,5.43,5.327,4.97,3.942,3.814,3.841,3.873,3.88,0.0,0.041999999999999815,0.1349999999999998,0.19899999999999984,0.09600000000000009,-0.2610000000000001,-1.2889999999999997,-1.4169999999999998,-1.3899999999999997,-1.3579999999999997,-1.351,163992.0,234156.0,88900.0,158366.0,60013.0,115375.0,116432.0,115851.0,40891.0,,32784.0,201770.0,100813.0,37058.0,54460.0,22480.0,50475.0,35716.0,19812.0,7089.0,4135.0,3102.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-14,5.26,5.305,5.398,5.465,5.37,5.013,3.939,3.81,3.839,3.871,3.879,0.0,0.04499999999999993,0.1379999999999999,0.20500000000000007,0.11000000000000032,-0.2469999999999999,-1.3209999999999997,-1.4499999999999997,-1.4209999999999998,-1.3889999999999998,-1.3809999999999998,144736.0,239538.0,89737.0,157495.0,60322.0,116434.0,116549.0,114530.0,41012.0,,32621.0,200943.0,101728.0,40486.0,52329.0,24267.0,46332.0,35720.0,20740.0,4481.0,3387.0,1763.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-15,5.46,5.507,5.604,5.676,5.585,5.221,3.914,3.768,3.797,3.831,3.839,0.0,0.04699999999999971,0.14400000000000013,0.2160000000000002,0.125,-0.23899999999999988,-1.5459999999999998,-1.6920000000000002,-1.6629999999999998,-1.629,-1.621,130952.0,251229.0,91914.0,158943.0,57292.0,117923.0,117123.0,116172.0,40896.0,,33104.0,279117.0,145598.0,59743.0,74639.0,35832.0,63798.0,40632.0,26429.0,7391.0,6391.0,5053.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-16,5.335,5.382,5.492,5.564,5.472,5.101,3.827,3.689,3.722,3.762,3.769,0.0,0.04699999999999971,0.15700000000000003,0.2290000000000001,0.13700000000000045,-0.23399999999999999,-1.508,-1.646,-1.613,-1.573,-1.5659999999999998,110134.0,256600.0,90103.0,156200.0,57222.0,117909.0,117476.0,116488.0,39299.0,,32973.0,221139.0,108507.0,51249.0,57072.0,23399.0,34708.0,25680.0,14386.0,9754.0,9470.0,2878.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-17,5.105,5.146,5.258,5.328,5.244,4.902,3.703,3.576,3.611,3.653,3.661,0.0,0.04099999999999948,0.15299999999999958,0.22299999999999986,0.13899999999999935,-0.2030000000000003,-1.4020000000000006,-1.5290000000000004,-1.4940000000000002,-1.4520000000000004,-1.4440000000000004,95353.0,258753.0,89798.0,155494.0,57229.0,119494.0,118888.0,118028.0,37393.0,,33139.0,164579.0,81643.0,24353.0,30198.0,13965.0,25187.0,20123.0,13904.0,9975.0,11666.0,3359.0,V,X,Z,F,G,H,J,K,M,N,Q
2021-09-20,5.022,5.132,5.202,5.117,4.795,3.67,3.548,3.583,3.626,3.631,3.64,0.0,0.10999999999999943,0.17999999999999972,0.09499999999999975,-0.2270000000000003,-1.3520000000000003,-1.4740000000000002,-1.439,-1.3960000000000004,-1.3910000000000005,-1.3820000000000001,262971.0,89746.0,155040.0,56379.0,120548.0,119630.0,118122.0,37100.0,,32694.0,88234.0,85637.0,24617.0,29298.0,14365.0,24406.0,17466.0,12939.0,9804.0,6400.0,2414.0,5348.0,X,Z,F,G,H,J,K,M,N,Q,V
2021-09-21,4.842,4.953,5.023,4.936,4.616,3.672,3.556,3.592,3.638,3.644,3.648,0.0,0.11100000000000065,0.18100000000000005,0.0940000000000003,-0.22599999999999998,-1.1699999999999995,-1.2859999999999996,-1.2499999999999996,-1.2039999999999997,-1.1979999999999995,-1.1939999999999995,268191.0,91302.0,155356.0,57505.0,121605.0,118157.0,116988.0,37271.0,,31960.0,87289.0,104562.0,34472.0,37302.0,17887.0,29333.0,23153.0,18164.0,14595.0,9213.0,3868.0,7859.0,X,Z,F,G,H,J,K,M,N,Q,V
2021-09-22,4.855,4.969,5.042,4.952,4.628,3.696,3.578,3.612,3.657,3.663,3.668,0.0,0.11399999999999988,0.1869999999999994,0.09699999999999953,-0.2270000000000003,-1.1590000000000003,-1.2770000000000006,-1.2430000000000003,-1.1980000000000004,-1.1920000000000006,-1.1870000000000003,275144.0,91594.0,157533.0,57577.0,122995.0,118816.0,117435.0,39055.0,,31994.0,87241.0,80224.0,29625.0,30350.0,10774.0,18859.0,13525.0,9871.0,10564.0,7709.0,2270.0,3058.0,X,Z,F,G,H,J,K,M,N,Q,V
