Datetime,Date,Time,Open,High,Low,Close,Volume,#ofTrades,OHLCAvg,HLCAvg,HLAvg,BidVolume,AskVolume,ts,month,weekday,weekday_lower,weekday_idx,wom,clock_time,clock_time_us,session_id,usa_winter_weekend_hedging_friday_monday_gate,usa_winter_weekend_hedging_friday_monday_weekday,usa_winter_weekend_hedging_friday_monday_n,usa_winter_weekend_hedging_friday_monday_corr,usa_winter_weekend_hedging_friday_monday_p,usa_winter_weekend_hedging_friday_monday_mean_pos,usa_winter_weekend_hedging_friday_monday_mean_neg,usa_winter_weekend_hedging_friday_monday_bias,any_pattern_active
2022-12-20 00:00:00,2022-12-20, 00:00:00.000000,2.187,2.187,2.187,2.187,1,1,2.187,2.187,2.187,1,0,2022-12-20 00:00:00-06:00,12,Tuesday,tuesday,1,4,00:00:00,00:00:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:05:00,2022-12-20, 00:05:00.000000,2.1876,2.1881,2.1873,2.1879,5,5,2.1877,2.1878,2.1877,0,5,2022-12-20 00:05:00-06:00,12,Tuesday,tuesday,1,4,00:05:00,00:05:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:10:00,2022-12-20, 00:10:00.000000,2.1913,2.1928,2.1913,2.1928,3,3,2.192,2.1923,2.192,1,2,2022-12-20 00:10:00-06:00,12,Tuesday,tuesday,1,4,00:10:00,00:10:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:25:00,2022-12-20, 00:25:00.000000,2.1901,2.1901,2.1899,2.1899,2,2,2.19,2.19,2.19,0,2,2022-12-20 00:25:00-06:00,12,Tuesday,tuesday,1,4,00:25:00,00:25:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:30:00,2022-12-20, 00:30:00.000000,2.191,2.1929,2.1908,2.1927,5,5,2.1918,2.1921,2.1918,0,5,2022-12-20 00:30:00-06:00,12,Tuesday,tuesday,1,4,00:30:00,00:30:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:40:00,2022-12-20, 00:40:00.000000,2.1997,2.1998,2.1997,2.1998,5,4,2.1997,2.1998,2.1997,0,5,2022-12-20 00:40:00-06:00,12,Tuesday,tuesday,1,4,00:40:00,00:40:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:45:00,2022-12-20, 00:45:00.000000,2.199,2.199,2.1988,2.1988,2,2,2.1989,2.1989,2.1989,0,2,2022-12-20 00:45:00-06:00,12,Tuesday,tuesday,1,4,00:45:00,00:45:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 00:50:00,2022-12-20, 00:50:00.000000,2.1985,2.1985,2.1985,2.1985,1,1,2.1985,2.1985,2.1985,0,1,2022-12-20 00:50:00-06:00,12,Tuesday,tuesday,1,4,00:50:00,00:50:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 01:00:00,2022-12-20, 01:00:00.000000,2.1967,2.1967,2.1965,2.1965,2,2,2.1966,2.1966,2.1966,2,0,2022-12-20 01:00:00-06:00,12,Tuesday,tuesday,1,4,01:00:00,01:00:00.000000,2022-12-20,0,,,,,,,,0
2022-12-20 01:05:00,2022-12-20, 01:05:00.000000,2.1969,2.1969,2.196,2.1963,7,7,2.1965,2.1964,2.1964,3,4,2022-12-20 01:05:00-06:00,12,Tuesday,tuesday,1,4,01:05:00,01:05:00.000000,2022-12-20,0,,,,,,,,0
