Datetime,BidVolume,AskVolume,Volume,Open,High,Low,Close
2022-08-24,1.0,0.0,1.0,109.48,109.54,109.48,109.51
2022-08-25,33.0,30.0,63.0,110.25,110.44,110.25,110.44
2022-08-26,4.0,3.0,7.0,113.7,114.2,113.6,114.2
2022-08-28,10.0,0.0,10.0,112.66,112.66,112.46,112.46
2022-08-29,3.0,3.0,6.0,101.83,102.01,101.83,102.01
2022-08-30,2.0,3.0,5.0,97.37,97.49,97.37,97.37
2022-08-31,1.0,0.0,1.0,87.34,87.34,87.22,87.22
2022-09-01,0.0,1.0,1.0,91.48,91.54,91.48,91.48
2022-09-02,2.0,5.0,7.0,97.22,97.22,97.11,97.16
2022-09-04,1.0,4.0,5.0,98.73,98.85,98.61,98.85
2022-09-05,0.0,1.0,1.0,98.2,98.25,98.2,98.22
2022-09-06,1.0,0.0,1.0,93.11,93.32,93.11,93.23
2022-09-07,0.0,1.0,1.0,98.36,98.6,98.36,98.51
2022-09-08,0.0,2.0,2.0,94.13,94.13,94.06,94.13
2022-09-09,11.0,4.0,15.0,95.49,96.16,95.49,95.8
2022-09-11,1.0,0.0,1.0,95.26,95.35,95.26,95.35
2022-09-12,0.0,2.0,2.0,94.76,94.79,94.76,94.78
2022-09-13,1.0,2.0,3.0,90.38,90.56,90.38,90.56
2022-09-14,1.0,0.0,1.0,86.0,86.16,86.0,86.16
2022-09-15,1.0,0.0,1.0,83.16,83.31,83.16,83.31
2022-09-16,2.0,13.0,15.0,81.91,81.91,81.54,81.54
2022-09-18,2.0,0.0,2.0,82.71,82.91,82.71,82.86
2022-09-19,1.0,0.0,1.0,91.96,92.02,91.75,91.75
2022-09-20,1.0,0.0,1.0,92.03,92.09,92.03,92.06
2022-09-21,8.0,14.0,22.0,92.86,93.35,92.86,93.35
2022-09-22,2.0,0.0,2.0,96.42,96.42,96.18,96.18
2022-09-23,8.0,10.0,18.0,93.59,94.06,93.59,93.87
2022-09-25,1.0,0.0,1.0,91.9,91.96,91.9,91.9
2022-09-26,0.0,5.0,5.0,94.48,94.52,94.48,94.52
2022-09-27,0.0,2.0,2.0,100.19,100.41,100.19,100.2
2022-09-28,0.0,1.0,1.0,105.19,105.22,105.16,105.16
2022-09-29,1.0,0.0,1.0,92.56,92.56,92.35,92.41
2022-09-30,1.0,3.0,4.0,96.1,96.1,95.64,95.64
2022-10-02,1.0,0.0,1.0,97.44,97.51,97.39,97.39
2022-10-03,2.0,4.0,6.0,103.06,103.27,103.06,103.25
2022-10-04,1.0,0.0,1.0,112.99,113.11,112.99,113.08
2022-10-05,5.0,1.0,6.0,113.69,113.69,113.65,113.65
2022-10-06,4.0,0.0,4.0,123.07,123.17,123.07,123.16
2022-10-07,7.0,5.0,12.0,122.05,122.29,121.93,121.93
2022-10-09,7.0,6.0,13.0,118.42,118.45,118.22,118.22
2022-10-10,3.0,0.0,3.0,108.18,108.28,108.15,108.15
2022-10-11,6.0,0.0,6.0,115.48,115.59,115.48,115.51
2022-10-12,1.0,0.0,1.0,120.93,120.96,120.93,120.93
